person_age,person_income,loan_amnt,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
25.0,91133.0,8000.0,16.29,0.09,676,No,0
32.0,63579.0,2514.0,9.05,0.04,665,Yes,0
39.0,65755.0,6000.0,11.83,0.09,635,No,1
35.0,48888.0,16750.0,14.09,0.34,672,No,1
29.0,15475.0,2000.0,10.72,0.13,587,No,1
23.0,42416.0,7000.0,10.99,0.17,660,No,0
24.0,87477.0,16000.0,10.25,0.18,614,Yes,0
40.0,64630.0,3000.0,9.73,0.05,576,No,0
39.0,95513.0,4000.0,8.12,0.04,700,Yes,0
23.0,83790.0,12000.0,12.68,0.14,658,No,1
29.0,144676.0,16000.0,12.42,0.11,642,Yes,0
26.0,91218.0,12000.0,6.92,0.13,685,Yes,0
39.0,33181.0,4800.0,8.56,0.14,716,No,0
22.0,59890.0,8000.0,10.25,0.13,620,No,1
27.0,88287.0,16000.0,16.61,0.18,631,No,1
23.0,65222.0,3600.0,12.42,0.06,580,No,0
24.0,58412.0,9600.0,11.01,0.16,504,Yes,0
22.0,44882.0,5200.0,12.42,0.12,582,Yes,0
39.0,58297.0,8400.0,12.53,0.14,648,No,0
27.0,59794.0,8500.0,10.59,0.14,688,No,0
35.0,147265.0,25000.0,15.2,0.17,693,No,1
23.0,73263.0,25000.0,10.25,0.34,693,No,1
27.0,103087.0,24000.0,11.43,0.23,652,Yes,0
27.0,278808.0,2000.0,9.91,0.01,536,No,0
33.0,166588.0,25000.0,20.0,0.15,649,No,1
30.0,274867.0,12800.0,15.33,0.05,666,Yes,0
26.0,86320.0,20000.0,13.36,0.23,655,No,1
31.0,133855.0,5150.0,6.62,0.04,645,Yes,0
31.0,55294.0,10000.0,10.65,0.18,589,No,0
23.0,73285.0,6000.0,9.48,0.08,563,Yes,0
25.0,168736.0,10000.0,11.14,0.06,437,Yes,0
28.0,205052.0,12000.0,5.79,0.06,630,Yes,0
26.0,37020.0,6000.0,13.49,0.16,620,No,0
38.0,36945.0,3000.0,13.85,0.08,695,No,1
25.0,76352.0,8911.0,7.67,0.12,626,Yes,0
25.0,78799.0,7000.0,11.66,0.09,642,No,0
21.0,79826.0,3600.0,15.99,0.05,654,No,0
30.0,84810.0,12800.0,11.01,0.15,680,No,0
27.0,37141.0,11000.0,9.91,0.3,660,No,1
26.0,51088.0,10000.0,6.54,0.2,693,No,0
33.0,66968.0,3600.0,6.99,0.05,695,Yes,0
24.0,31287.0,4000.0,16.49,0.13,588,No,1
22.0,47572.0,2000.0,14.84,0.04,602,No,1
28.0,155027.0,4000.0,13.35,0.03,655,No,0
22.0,28527.0,8300.0,12.61,0.29,690,No,1
36.0,39421.0,9692.0,9.54,0.25,621,Yes,0
25.0,59695.0,2000.0,11.99,0.03,593,Yes,0
42.0,55221.0,18200.0,10.83,0.33,597,No,1
33.0,46079.0,4400.0,11.71,0.1,657,Yes,0
25.0,58619.0,8000.0,10.7,0.14,687,Yes,0
26.0,60947.0,17200.0,7.51,0.28,573,Yes,0
40.0,26633.0,1500.0,11.12,0.06,672,Yes,0
27.0,85031.0,3000.0,7.68,0.04,593,Yes,0
22.0,51205.0,4000.0,14.09,0.08,618,Yes,0
23.0,51384.0,5388.0,11.69,0.1,669,Yes,0
26.0,64106.0,2800.0,13.47,0.04,658,Yes,0
36.0,204546.0,20639.0,13.12,0.1,712,Yes,0
23.0,62721.0,16000.0,10.91,0.26,665,Yes,0
32.0,63407.0,10000.0,14.35,0.16,638,Yes,0
24.0,47690.0,4500.0,10.99,0.09,694,Yes,0
22.0,37013.0,3000.0,11.12,0.08,590,Yes,0
22.0,54620.0,1200.0,12.68,0.02,668,No,0
32.0,228588.0,15000.0,9.63,0.07,660,Yes,0
26.0,43384.0,10503.0,7.49,0.24,547,No,0
32.0,36116.0,5000.0,10.49,0.14,651,Yes,0
25.0,87678.0,4800.0,7.35,0.05,579,No,0
38.0,132621.0,3021.0,8.39,0.02,711,No,0
23.0,79303.0,5125.0,10.71,0.06,602,No,0
24.0,32782.0,3000.0,11.01,0.09,538,No,0
25.0,94541.0,30000.0,11.01,0.32,532,Yes,0
31.0,124310.0,20000.0,18.17,0.16,689,No,1
29.0,71586.0,5000.0,11.71,0.07,608,No,1
37.0,67869.0,17000.0,8.7,0.25,645,Yes,0
30.0,56132.0,5000.0,11.01,0.09,603,Yes,0
22.0,28822.0,4850.0,14.27,0.17,696,No,0
25.0,24952.0,3100.0,11.71,0.12,643,Yes,0
26.0,65442.0,13600.0,10.99,0.21,698,Yes,0
26.0,78858.0,6000.0,16.49,0.08,694,No,0
22.0,51348.0,7000.0,12.68,0.14,584,Yes,0
23.0,37125.0,10000.0,8.61,0.27,585,No,1
33.0,162993.0,20129.0,17.09,0.12,641,Yes,0
30.0,43211.0,10000.0,6.04,0.23,645,Yes,0
43.0,52223.0,15000.0,8.88,0.29,678,Yes,0
26.0,61039.0,7000.0,10.01,0.11,531,Yes,0
34.0,55049.0,4563.0,16.42,0.08,595,No,1
26.0,63146.0,4800.0,17.99,0.08,637,No,1
29.0,70997.0,20000.0,13.28,0.28,676,No,1
30.0,18754.0,2000.0,8.14,0.11,682,Yes,0
37.0,117480.0,10000.0,11.01,0.09,584,No,0
36.0,79037.0,9000.0,8.46,0.11,674,Yes,0
28.0,116648.0,6000.0,12.69,0.05,707,No,0
31.0,122820.0,7500.0,13.22,0.06,619,Yes,0
36.0,74143.0,10000.0,10.25,0.13,655,Yes,0
26.0,60856.0,5423.0,8.5,0.09,631,Yes,0
27.0,103394.0,3800.0,6.03,0.04,613,Yes,0
37.0,137706.0,25000.0,11.01,0.18,607,No,0
29.0,65531.0,10000.0,14.8,0.15,643,No,1
26.0,61030.0,1300.0,6.99,0.02,679,No,0
36.0,96831.0,6400.0,11.23,0.07,591,No,0
27.0,66667.0,20000.0,13.48,0.3,629,No,1
22.0,61083.0,3200.0,8.49,0.05,675,No,0
22.0,35849.0,8000.0,13.72,0.22,646,Yes,0
27.0,72913.0,5000.0,9.63,0.07,630,No,0
32.0,38391.0,7400.0,16.77,0.19,607,No,1
23.0,97783.0,20000.0,11.71,0.2,563,Yes,0
34.0,49375.0,4800.0,11.23,0.1,632,Yes,0
29.0,24087.0,8120.0,8.06,0.34,549,No,1
35.0,87315.0,12810.0,6.64,0.15,577,Yes,0
30.0,34543.0,14400.0,12.18,0.42,714,No,0
30.0,77341.0,5000.0,10.45,0.06,673,No,1
24.0,31322.0,4000.0,16.49,0.13,592,No,1
24.0,136032.0,8390.0,10.54,0.06,650,No,0
30.0,27991.0,5000.0,7.51,0.18,613,Yes,0
32.0,23913.0,8325.0,6.62,0.35,634,No,1
29.0,75888.0,8000.0,6.62,0.11,621,No,0
24.0,85223.0,24000.0,10.99,0.28,603,No,1
31.0,59620.0,6000.0,10.59,0.1,568,No,1
26.0,107633.0,8000.0,10.99,0.07,542,Yes,0
35.0,69434.0,6173.0,11.05,0.09,476,No,1
23.0,38120.0,2400.0,13.98,0.06,460,No,1
22.0,38089.0,1050.0,7.51,0.03,581,No,1
23.0,97233.0,8000.0,15.68,0.08,576,Yes,0
25.0,37086.0,4000.0,12.97,0.11,675,Yes,0
31.0,90982.0,10000.0,13.47,0.11,616,Yes,0
33.0,99296.0,20000.0,10.99,0.2,620,Yes,0
23.0,24907.0,3200.0,7.14,0.13,616,Yes,0
27.0,108957.0,20000.0,11.01,0.18,611,Yes,0
26.0,154931.0,26000.0,13.99,0.17,498,Yes,0
32.0,85027.0,10000.0,9.88,0.12,653,No,0
30.0,41358.0,9000.0,7.65,0.22,675,Yes,0
38.0,181044.0,12000.0,10.46,0.07,639,No,0
27.0,55958.0,14000.0,11.01,0.25,555,Yes,0
23.0,105729.0,20000.0,13.35,0.19,664,No,0
23.0,115018.0,10000.0,8.32,0.09,644,Yes,0
30.0,46818.0,9775.0,11.01,0.21,679,Yes,0
22.0,72916.0,2100.0,14.65,0.03,619,Yes,0
28.0,94537.0,12000.0,10.62,0.13,627,Yes,0
36.0,43382.0,12000.0,8.9,0.28,704,No,0
25.0,178435.0,5750.0,9.99,0.03,611,Yes,0
22.0,78958.0,3000.0,6.99,0.04,701,No,0
33.0,67217.0,3600.0,6.98,0.05,690,No,0
28.0,72988.0,16000.0,16.07,0.22,576,No,1
25.0,91618.0,14500.0,9.63,0.16,600,Yes,0
22.0,95716.0,4750.0,10.25,0.05,594,Yes,0
25.0,117393.0,8000.0,11.01,0.07,704,No,0
33.0,205028.0,21000.0,14.26,0.1,637,Yes,0
26.0,64725.0,6800.0,9.91,0.11,646,No,0
30.0,447379.0,2400.0,10.99,0.01,594,Yes,0
30.0,85162.0,10000.0,16.89,0.12,621,Yes,0
42.0,38544.0,7200.0,11.99,0.19,734,No,0
35.0,97038.0,7000.0,7.29,0.07,666,Yes,0
23.0,67545.0,5500.0,14.61,0.08,682,No,1
25.0,84674.0,5600.0,8.57,0.07,611,Yes,0
37.0,68765.0,10000.0,11.01,0.15,645,No,0
29.0,53995.0,11000.0,7.29,0.2,583,Yes,0
35.0,75920.0,3700.0,11.01,0.05,707,No,0
25.0,47902.0,4000.0,17.74,0.08,654,No,1
41.0,47141.0,7500.0,8.49,0.16,461,Yes,0
23.0,71984.0,6000.0,10.55,0.08,496,Yes,0
23.0,119951.0,15000.0,6.99,0.13,631,Yes,0
24.0,49021.0,3000.0,13.7,0.06,682,Yes,0
22.0,36821.0,2500.0,8.49,0.07,602,No,1
24.0,26031.0,7500.0,7.88,0.29,666,No,1
26.0,74170.0,1500.0,12.84,0.02,623,No,0
30.0,102672.0,10000.0,7.37,0.1,693,Yes,0
21.0,24941.0,2500.0,13.79,0.1,687,No,0
25.0,54897.0,3200.0,7.74,0.06,661,Yes,0
29.0,30887.0,4000.0,5.42,0.13,611,No,0
27.0,98138.0,5814.0,7.46,0.06,693,Yes,0
24.0,63488.0,5000.0,15.28,0.08,581,No,1
30.0,45942.0,1513.0,9.42,0.03,597,Yes,0
25.0,54749.0,8000.0,10.38,0.15,696,Yes,0
24.0,139047.0,3000.0,14.27,0.02,668,Yes,0
30.0,91065.0,25000.0,15.2,0.27,688,No,1
23.0,36441.0,4000.0,16.32,0.11,585,No,1
28.0,92007.0,3400.0,8.49,0.04,635,No,0
30.0,65636.0,16000.0,17.99,0.24,646,No,1
27.0,73192.0,4000.0,13.98,0.05,620,No,0
27.0,48697.0,6400.0,9.32,0.13,661,Yes,0
30.0,133108.0,16000.0,14.49,0.12,709,Yes,0
31.0,43243.0,15000.0,13.11,0.35,624,No,1
22.0,143948.0,35000.0,16.49,0.24,651,No,0
25.0,168710.0,35000.0,10.59,0.21,560,No,0
24.0,73172.0,25000.0,11.01,0.34,618,No,1
29.0,71722.0,6000.0,10.37,0.08,572,No,0
35.0,101867.0,7000.0,7.29,0.07,698,Yes,0
22.0,72936.0,10900.0,15.65,0.15,655,No,0
28.0,58695.0,15000.0,11.01,0.26,590,No,1
39.0,39978.0,2400.0,8.88,0.06,698,No,0
24.0,80056.0,8400.0,11.01,0.1,667,Yes,0
28.0,59615.0,7000.0,7.51,0.12,653,Yes,0
26.0,49975.0,6600.0,13.85,0.13,638,Yes,0
26.0,33643.0,3000.0,5.79,0.09,564,Yes,0
26.0,32325.0,20050.0,9.76,0.62,652,No,1
26.0,94811.0,17849.0,16.41,0.19,680,No,1
26.0,66771.0,15000.0,9.97,0.22,587,No,0
22.0,50130.0,8400.0,8.94,0.17,637,No,0
24.0,78869.0,10000.0,15.26,0.13,607,Yes,0
32.0,115253.0,15000.0,5.99,0.13,705,Yes,0
27.0,227803.0,5125.0,14.84,0.02,693,Yes,0
25.0,59739.0,18204.0,12.01,0.3,671,No,1
28.0,75250.0,9300.0,11.72,0.12,703,Yes,0
23.0,120907.0,10000.0,12.83,0.08,666,Yes,0
33.0,68554.0,10000.0,9.84,0.15,636,Yes,0
28.0,71320.0,8000.0,11.38,0.11,588,Yes,0
25.0,97118.0,10000.0,6.03,0.1,599,Yes,0
40.0,115858.0,15000.0,12.18,0.13,704,Yes,0
24.0,42503.0,12000.0,10.38,0.28,601,No,1
27.0,97780.0,8000.0,8.49,0.08,664,No,0
42.0,96969.0,35000.0,11.43,0.36,583,No,1
23.0,39549.0,6500.0,8.59,0.16,653,No,0
23.0,34676.0,1513.0,13.17,0.04,690,Yes,0
23.0,15633.0,5825.0,6.62,0.37,680,No,1
34.0,65906.0,5000.0,9.63,0.08,686,Yes,0
25.0,76714.0,20000.0,8.49,0.26,683,Yes,0
28.0,79151.0,1457.0,9.52,0.02,639,Yes,0
37.0,31090.0,10000.0,16.29,0.32,595,No,1
29.0,81768.0,10000.0,7.14,0.12,655,Yes,0
25.0,71453.0,5000.0,15.62,0.07,582,No,1
42.0,39727.0,10000.0,11.71,0.25,610,No,1
25.0,91003.0,4800.0,15.27,0.05,604,Yes,0
28.0,112889.0,8800.0,7.88,0.08,632,Yes,0
26.0,64635.0,4800.0,15.62,0.07,561,No,1
25.0,179943.0,7112.0,10.09,0.04,632,No,0
38.0,98472.0,24000.0,8.49,0.24,564,Yes,0
24.0,60744.0,13700.0,6.03,0.23,620,Yes,0
23.0,44444.0,6400.0,11.49,0.14,602,Yes,0
36.0,96777.0,20000.0,10.99,0.21,656,Yes,0
21.0,23028.0,3500.0,13.35,0.15,645,No,1
27.0,67170.0,4000.0,6.76,0.06,660,No,0
29.0,103056.0,7000.0,6.92,0.07,577,No,0
30.0,67288.0,12000.0,10.38,0.18,637,Yes,0
29.0,65856.0,5000.0,7.14,0.08,664,No,0
21.0,91133.0,17950.0,10.91,0.2,632,Yes,0
25.0,72907.0,6000.0,14.54,0.08,582,No,0
23.0,40158.0,4500.0,7.49,0.11,639,Yes,0
33.0,87688.0,25000.0,16.0,0.29,556,No,1
22.0,61075.0,4000.0,10.95,0.07,623,Yes,0
22.0,72947.0,18000.0,9.33,0.25,631,Yes,0
24.0,52547.0,14500.0,10.75,0.28,652,No,1
24.0,169804.0,10000.0,5.99,0.06,498,Yes,0
26.0,39103.0,5000.0,12.53,0.13,651,No,0
32.0,72753.0,15000.0,14.83,0.21,705,No,0
25.0,48951.0,5600.0,14.61,0.11,668,No,0
25.0,47675.0,3000.0,13.99,0.06,624,Yes,0
32.0,31040.0,3000.0,13.48,0.1,515,No,0
25.0,43980.0,12500.0,11.72,0.28,614,No,1
30.0,72696.0,4000.0,6.99,0.06,643,Yes,0
28.0,84949.0,5000.0,7.43,0.06,538,Yes,0
26.0,68636.0,12000.0,10.88,0.17,586,Yes,0
36.0,72869.0,13750.0,7.51,0.19,691,No,0
23.0,39679.0,6000.0,16.77,0.15,580,No,1
37.0,79085.0,10000.0,5.42,0.13,655,No,0
36.0,65098.0,1600.0,12.21,0.02,640,No,1
23.0,85064.0,3500.0,6.03,0.04,667,Yes,0
31.0,78949.0,10000.0,7.66,0.13,592,Yes,0
40.0,56039.0,7000.0,6.62,0.12,660,Yes,0
33.0,54217.0,2000.0,14.22,0.04,652,No,1
25.0,65852.0,7000.0,18.64,0.11,688,No,0
22.0,35845.0,2000.0,8.49,0.06,688,Yes,0
22.0,83874.0,7800.0,12.41,0.09,545,Yes,0
40.0,42806.0,4000.0,10.37,0.09,654,No,0
28.0,32084.0,12007.0,11.33,0.37,599,No,1
45.0,41402.0,4000.0,6.39,0.1,641,No,0
25.0,37246.0,10000.0,7.51,0.27,636,No,1
23.0,44385.0,15000.0,10.25,0.34,735,No,1
23.0,56443.0,7000.0,7.4,0.12,663,Yes,0
22.0,75191.0,15075.0,6.03,0.2,604,Yes,0
36.0,23606.0,6000.0,15.02,0.25,632,No,1
22.0,49463.0,6000.0,12.69,0.12,477,Yes,0
39.0,102989.0,12000.0,6.03,0.12,543,Yes,0
35.0,42993.0,8000.0,11.29,0.19,577,Yes,0
47.0,37154.0,3000.0,12.23,0.08,564,Yes,0
31.0,211083.0,7500.0,19.69,0.04,684,No,0
22.0,91324.0,10600.0,10.99,0.12,627,No,0
30.0,217126.0,28000.0,14.91,0.13,552,Yes,0
30.0,31562.0,6597.0,10.47,0.21,669,No,0
22.0,80948.0,7500.0,14.96,0.09,634,No,1
23.0,144915.0,23953.0,10.59,0.17,687,Yes,0
24.0,108392.0,6000.0,13.92,0.06,588,Yes,0
22.0,33690.0,7750.0,10.37,0.23,570,Yes,0
24.0,175284.0,14000.0,12.84,0.08,704,Yes,0
23.0,41838.0,8500.0,13.92,0.2,498,No,1
44.0,81365.0,10000.0,11.66,0.12,724,No,0
31.0,42831.0,15000.0,12.16,0.35,654,No,1
26.0,54790.0,12000.0,11.01,0.22,595,Yes,0
24.0,66965.0,10000.0,10.41,0.15,635,No,0
22.0,30377.0,2000.0,11.36,0.07,666,Yes,0
22.0,36962.0,8000.0,16.23,0.22,565,No,1
35.0,83496.0,6400.0,16.77,0.08,667,No,1
37.0,78923.0,11022.0,9.69,0.14,595,Yes,0
24.0,58644.0,5000.0,7.68,0.09,652,Yes,0
27.0,92458.0,12000.0,8.51,0.13,576,No,0
24.0,71872.0,8000.0,6.54,0.11,677,Yes,0
26.0,97300.0,4200.0,14.27,0.04,625,Yes,0
32.0,53742.0,8000.0,10.32,0.15,648,Yes,0
37.0,55036.0,8000.0,9.63,0.15,670,Yes,0
47.0,78842.0,9500.0,11.89,0.12,635,No,0
23.0,51327.0,10000.0,15.58,0.19,634,No,1
24.0,87424.0,5000.0,13.93,0.06,599,Yes,0
40.0,159398.0,7500.0,7.29,0.05,687,Yes,0
39.0,41825.0,5200.0,9.76,0.12,576,No,0
29.0,85978.0,12000.0,11.01,0.14,647,No,0
24.0,35551.0,7444.0,11.2,0.21,644,No,1
41.0,65884.0,7679.0,13.63,0.12,564,No,1
21.0,99434.0,11000.0,11.01,0.11,692,Yes,0
34.0,74664.0,6199.0,11.16,0.08,544,Yes,0
23.0,55078.0,10000.0,6.62,0.18,571,Yes,0
29.0,78364.0,13500.0,7.49,0.17,620,Yes,0
24.0,61257.0,12000.0,7.51,0.2,647,Yes,0
45.0,169115.0,7500.0,6.62,0.04,635,Yes,0
25.0,40796.0,10000.0,10.31,0.25,658,No,0
25.0,36767.0,8000.0,9.32,0.22,694,No,0
22.0,58920.0,4500.0,9.76,0.08,450,No,1
27.0,71582.0,4000.0,5.79,0.06,649,Yes,0
28.0,160424.0,20000.0,11.01,0.12,611,No,1
26.0,27001.0,6000.0,10.59,0.22,648,No,0
22.0,58689.0,7200.0,12.69,0.12,556,Yes,0
30.0,37403.0,4500.0,13.92,0.12,672,Yes,0
26.0,40358.0,3000.0,10.75,0.07,641,Yes,0
24.0,111304.0,22000.0,10.99,0.2,569,Yes,0
23.0,66888.0,7750.0,6.17,0.12,634,Yes,0
29.0,76835.0,6238.0,9.27,0.08,619,No,0
23.0,69984.0,9000.0,6.54,0.13,623,Yes,0
22.0,75677.0,2000.0,6.03,0.03,641,Yes,0
29.0,109022.0,24000.0,12.85,0.22,562,Yes,0
24.0,68047.0,15000.0,8.49,0.22,596,No,0
40.0,103154.0,10000.0,12.87,0.1,644,Yes,0
21.0,42441.0,2300.0,6.76,0.05,600,Yes,0
26.0,67234.0,10000.0,12.54,0.15,646,Yes,0
24.0,43252.0,1800.0,7.14,0.04,589,Yes,0
40.0,68772.0,28000.0,18.62,0.41,635,No,1
23.0,51303.0,7325.0,12.69,0.14,627,Yes,0
22.0,70441.0,6000.0,10.0,0.09,661,Yes,0
37.0,73246.0,15000.0,12.42,0.2,687,Yes,0
28.0,67072.0,18000.0,14.11,0.27,614,No,0
37.0,22667.0,1500.0,13.47,0.07,601,Yes,0
24.0,68603.0,19125.0,13.99,0.28,658,No,0
29.0,168907.0,12600.0,11.01,0.07,599,Yes,0
26.0,89975.0,9000.0,10.0,0.1,666,Yes,0
23.0,96988.0,7000.0,7.14,0.07,672,No,0
37.0,94567.0,10200.0,13.06,0.11,663,Yes,0
23.0,49044.0,7200.0,11.11,0.15,528,Yes,0
27.0,39694.0,4029.0,15.99,0.1,584,No,1
35.0,110368.0,10000.0,8.63,0.09,692,Yes,0
22.0,80301.0,16800.0,13.49,0.21,588,No,0
25.0,57277.0,12000.0,15.96,0.21,640,Yes,0
21.0,48850.0,10000.0,8.59,0.2,515,Yes,0
32.0,51166.0,8091.0,15.52,0.16,635,Yes,0
39.0,88329.0,10000.0,7.51,0.11,643,Yes,0
23.0,33720.0,5800.0,13.06,0.17,683,Yes,0
40.0,55062.0,3600.0,6.62,0.07,679,Yes,0
29.0,121261.0,10000.0,6.92,0.08,649,No,0
49.0,86529.0,7000.0,16.71,0.08,745,No,1
24.0,43684.0,20575.0,12.57,0.47,650,No,1
31.0,51302.0,2000.0,6.96,0.04,566,Yes,0
22.0,15436.0,1000.0,13.57,0.06,698,No,1
21.0,18370.0,3000.0,9.63,0.16,664,No,1
28.0,64595.0,10000.0,11.55,0.15,660,No,0
26.0,103063.0,4438.0,7.44,0.04,657,Yes,0
30.0,83761.0,14000.0,6.88,0.17,562,Yes,0
27.0,87540.0,21100.0,8.9,0.24,567,No,0
23.0,29559.0,5000.0,10.75,0.17,697,No,0
24.0,33668.0,4000.0,10.5,0.12,618,Yes,0
24.0,38519.0,1358.0,15.7,0.04,677,No,1
31.0,68316.0,12000.0,6.54,0.18,640,Yes,0
27.0,95878.0,15000.0,13.82,0.16,555,No,1
37.0,139003.0,2964.0,12.73,0.02,652,Yes,0
24.0,37061.0,6000.0,14.11,0.16,600,No,1
28.0,65618.0,9135.0,9.17,0.14,589,No,0
24.0,82625.0,5500.0,15.68,0.07,575,Yes,0
35.0,42911.0,8000.0,9.91,0.19,651,No,0
22.0,37114.0,11100.0,6.62,0.3,689,No,1
31.0,39024.0,3000.0,15.62,0.08,585,No,1
30.0,81350.0,9000.0,12.87,0.11,696,No,0
28.0,68481.0,2400.0,13.99,0.04,653,Yes,0
25.0,73071.0,10000.0,16.49,0.14,647,No,0
31.0,115310.0,25000.0,10.08,0.22,727,Yes,0
23.0,121264.0,10000.0,10.59,0.08,589,Yes,0
23.0,108628.0,17000.0,10.44,0.16,696,Yes,0
26.0,87069.0,9000.0,9.39,0.1,644,No,0
26.0,140836.0,7500.0,11.59,0.05,651,Yes,0
27.0,41579.0,5000.0,10.25,0.12,602,No,1
22.0,20297.0,5500.0,7.14,0.27,687,No,1
43.0,144620.0,5477.0,10.03,0.04,727,Yes,0
43.0,321623.0,21779.0,12.09,0.07,637,Yes,0
31.0,183013.0,15000.0,8.64,0.08,628,No,0
27.0,48386.0,2000.0,7.9,0.04,592,Yes,0
22.0,73015.0,11500.0,7.88,0.16,699,No,0
22.0,91328.0,25000.0,11.78,0.27,633,Yes,0
21.0,78910.0,10000.0,6.03,0.13,640,No,0
23.0,82655.0,10000.0,10.16,0.12,685,No,0
21.0,48909.0,15000.0,14.27,0.31,679,No,1
22.0,90847.0,8000.0,5.99,0.09,639,No,0
33.0,26736.0,10000.0,12.53,0.37,692,No,1
30.0,66297.0,6000.0,12.99,0.09,681,No,0
25.0,97261.0,12000.0,6.91,0.12,615,Yes,0
33.0,61372.0,6000.0,6.92,0.1,696,No,0
33.0,94502.0,20000.0,12.18,0.21,639,Yes,0
23.0,61874.0,2400.0,7.49,0.04,603,Yes,0
44.0,131867.0,12800.0,13.79,0.1,704,No,0
23.0,50839.0,11000.0,9.51,0.22,557,Yes,0
27.0,75500.0,4150.0,18.39,0.05,635,No,0
36.0,93434.0,5982.0,6.8,0.06,686,Yes,0
24.0,42815.0,5000.0,7.88,0.12,673,Yes,0
24.0,43995.0,15515.0,13.12,0.35,586,No,1
28.0,54358.0,10000.0,8.59,0.18,598,Yes,0
34.0,26733.0,1463.0,11.08,0.05,673,No,0
26.0,75620.0,12000.0,12.69,0.16,560,Yes,0
21.0,29556.0,10000.0,11.01,0.34,646,No,1
28.0,32587.0,2348.0,12.62,0.07,718,No,0
31.0,66955.0,8000.0,7.49,0.12,664,Yes,0
26.0,63377.0,8000.0,10.25,0.13,615,No,0
23.0,63569.0,7000.0,13.85,0.11,637,No,1
27.0,85192.0,25000.0,11.71,0.29,595,No,1
27.0,60948.0,15000.0,9.9,0.25,695,Yes,0
25.0,97003.0,20000.0,15.15,0.21,642,No,0
30.0,53899.0,4500.0,10.1,0.08,653,No,1
28.0,109458.0,25000.0,11.86,0.23,655,No,0
26.0,31074.0,6500.0,14.09,0.21,703,No,1
34.0,40171.0,8400.0,14.96,0.21,652,No,1
24.0,85188.0,25000.0,9.62,0.29,564,Yes,0
28.0,180975.0,12500.0,14.35,0.07,703,No,0
35.0,43180.0,7134.0,15.48,0.17,667,No,1
27.0,50990.0,12000.0,16.0,0.24,627,No,1
22.0,66792.0,8000.0,15.31,0.12,655,No,1
34.0,78744.0,21200.0,9.99,0.27,708,Yes,0
37.0,52436.0,4200.0,13.49,0.08,609,No,0
31.0,89769.0,1500.0,12.68,0.02,661,No,1
30.0,42803.0,3600.0,12.69,0.08,684,Yes,0
26.0,75031.0,10000.0,8.94,0.13,632,Yes,0
31.0,265772.0,14182.0,15.97,0.05,693,No,0
24.0,56893.0,7000.0,6.54,0.12,610,Yes,0
45.0,66230.0,4500.0,11.46,0.07,611,Yes,0
31.0,123260.0,18000.0,10.0,0.15,639,No,0
30.0,19783.0,6250.0,5.79,0.32,621,No,1
22.0,26463.0,6000.0,15.96,0.23,683,Yes,0
24.0,70252.0,7000.0,6.99,0.1,611,Yes,0
24.0,81479.0,12150.0,10.37,0.15,606,Yes,0
28.0,51418.0,1281.0,5.97,0.02,666,Yes,0
26.0,42818.0,2500.0,8.9,0.06,648,No,0
32.0,40415.0,6000.0,8.37,0.15,516,Yes,0
24.0,50133.0,10000.0,12.72,0.2,702,Yes,0
25.0,46572.0,20000.0,13.47,0.43,601,No,1
22.0,39626.0,15000.0,13.22,0.38,682,No,1
34.0,77513.0,24000.0,10.71,0.31,611,No,1
25.0,181097.0,10000.0,6.54,0.06,669,Yes,0
33.0,33610.0,6000.0,12.46,0.18,688,No,1
26.0,72644.0,12000.0,10.65,0.17,660,No,0
25.0,95110.0,6000.0,6.54,0.06,679,Yes,0
26.0,19878.0,5500.0,7.88,0.28,676,No,1
36.0,35318.0,6000.0,15.96,0.17,606,No,0
28.0,47828.0,10153.0,15.13,0.21,619,No,1
30.0,99473.0,5000.0,6.89,0.05,605,Yes,0
29.0,52751.0,4000.0,11.74,0.08,698,No,0
26.0,134026.0,7200.0,12.18,0.05,625,No,0
26.0,40001.0,3500.0,8.59,0.09,569,Yes,0
22.0,35836.0,6250.0,16.07,0.17,645,No,1
24.0,57356.0,24000.0,17.8,0.42,672,No,1
37.0,32239.0,6000.0,8.59,0.19,586,Yes,0
28.0,91594.0,3500.0,14.91,0.04,671,Yes,0
25.0,44172.0,4000.0,6.22,0.09,622,No,0
27.0,95538.0,9000.0,6.76,0.09,627,No,0
23.0,80510.0,5000.0,10.39,0.06,581,Yes,0
32.0,19271.0,1793.0,16.85,0.09,606,Yes,0
22.0,33426.0,1600.0,11.12,0.05,645,Yes,0
30.0,73011.0,5500.0,9.04,0.08,599,Yes,0
23.0,96670.0,16000.0,12.82,0.17,645,No,0
36.0,19094.0,5000.0,13.92,0.26,646,No,1
27.0,74888.0,6000.0,10.99,0.08,646,Yes,0
23.0,84175.0,3800.0,15.28,0.05,656,No,1
24.0,62135.0,15000.0,11.12,0.24,605,Yes,0
26.0,54776.0,6000.0,7.49,0.11,672,Yes,0
41.0,71333.0,12000.0,11.14,0.17,645,No,1
30.0,54391.0,12000.0,16.43,0.22,658,No,1
26.0,99626.0,6000.0,7.88,0.06,630,Yes,0
23.0,144789.0,24000.0,11.26,0.17,616,Yes,0
30.0,43036.0,7500.0,8.63,0.17,595,No,0
21.0,78927.0,10000.0,13.47,0.13,619,Yes,0
24.0,33571.0,8000.0,7.29,0.24,620,Yes,0
